dipendente_id,matricola,nome,cognome,email,telefono,filiale_id,ruolo,data_assunzione,data_cessazione,stato,created_at,updated_at
21,MAT000021,Chiara,Ragusa,chiara.ragusa@bancatrinacria.it,+393288317278,21,Gestore,2021-04-08,,Attivo,2026-01-26 22:18:19.311205,2026-01-26 22:18:19.311208
22,MAT000022,Andrea,Torrisi,andrea.torrisi@bancatrinacria.it,+393458727743,11,Operatore,2024-06-02,,Attivo,2026-01-26 22:18:19.313282,2026-01-26 22:18:19.313286
23,MAT000023,Chiara,Rossitto,chiara.rossitto@bancatrinacria.it,+393354714345,18,Gestore,2018-08-02,,Attivo,2026-01-26 22:18:19.314916,2026-01-26 22:18:19.314923
24,MAT000024,Giovanna,Parisi,giovanna.parisi@bancatrinacria.it,+393422316658,4,Operatore,2020-03-23,,Attivo,2026-01-26 22:18:19.318892,2026-01-26 22:18:19.318900
25,MAT000025,Marco,Gagliano,marco.gagliano@bancatrinacria.it,+393209670546,10,Operatore,2024-07-27,,Attivo,2026-01-26 22:18:19.320805,2026-01-26 22:18:19.320808
26,MAT000026,Davide,Palermo,davide.palermo@bancatrinacria.it,+393473467065,15,Gestore,2022-07-02,,Attivo,2026-01-26 22:18:19.322076,2026-01-26 22:18:19.322078
27,MAT000027,Luigi,Ragusa,luigi.ragusa@bancatrinacria.it,+393319806990,3,Operatore,2015-12-10,,Attivo,2026-01-26 22:18:19.323412,2026-01-26 22:18:19.323415
28,MAT000028,Laura,Fontana,laura.fontana@bancatrinacria.it,+393284653755,9,Direttore,2023-07-15,,Attivo,2026-01-26 22:18:19.327001,2026-01-26 22:18:19.327004
29,MAT000029,Marco,Rizza,marco.rizza@bancatrinacria.it,+393297080531,29,Operatore,2023-10-05,,Cessato,2026-01-26 22:18:19.332464,2026-01-26 22:18:19.332467
30,MAT000030,Maria,Randazzo,maria.randazzo@bancatrinacria.it,+393340923271,4,Gestore,2021-04-29,,Attivo,2026-01-26 22:18:19.334545,2026-01-26 22:18:19.334548
31,MAT000031,Pietro,Fichera,pietro.fichera@bancatrinacria.it,+393339912419,27,Gestore,2015-04-16,,Attivo,2026-01-26 22:18:19.335640,2026-01-26 22:18:19.335641
32,MAT000032,Calogero,Grasso,calogero.grasso@bancatrinacria.it,+393341931491,14,Operatore,2023-12-06,,Attivo,2026-01-26 22:18:19.336607,2026-01-26 22:18:19.336609
33,MAT000033,Rosario,Nicolosi,rosario.nicolosi@bancatrinacria.it,+393401850671,9,Gestore,2019-11-11,,Attivo,2026-01-26 22:18:19.337491,2026-01-26 22:18:19.337492
34,MAT000034,Laura,Santoro,laura.santoro@bancatrinacria.it,+393452849877,18,Cassiere,2019-11-20,,Attivo,2026-01-26 22:18:19.338392,2026-01-26 22:18:19.338393
35,MAT000035,Antonino,Randazzo,antonino.randazzo@bancatrinacria.it,+393294737996,16,Gestore,2018-10-09,2024-07-18,Attivo,2026-01-26 22:18:19.339278,2026-01-26 22:18:19.339279
36,MAT000036,Giuseppina,D'Angelo,giuseppina.d'angelo@bancatrinacria.it,+393365494808,12,Operatore,2017-02-21,,Attivo,2026-01-26 22:18:19.340115,2026-01-26 22:18:19.340116
37,MAT000037,Alessandra,Puglisi,alessandra.puglisi@bancatrinacria.it,+393477701436,26,Gestore,2022-10-04,,Attivo,2026-01-26 22:18:19.343608,2026-01-26 22:18:19.343611
38,MAT000038,Stefania,Rapisarda,stefania.rapisarda@bancatrinacria.it,+393498568557,22,Gestore,2018-01-14,,Attivo,2026-01-26 22:18:19.345506,2026-01-26 22:18:19.345508
39,MAT000039,Giovanni,Castagna,giovanni.castagna@bancatrinacria.it,+393308233749,12,Operatore,2023-07-11,,Attivo,2026-01-26 22:18:19.346663,2026-01-26 22:18:19.346665
40,MAT000040,Salvatore,Leone,salvatore.leone@bancatrinacria.it,+393383524082,10,Gestore,2018-01-28,2024-12-04,Attivo,2026-01-26 22:18:19.347650,2026-01-26 22:18:19.347651
41,MAT000041,Vincenzo,Rossitto,vincenzo.rossitto@bancatrinacria.it,+393300947775,30,Cassiere,2017-01-25,,Attivo,2026-01-26 22:18:19.348673,2026-01-26 22:18:19.348675
42,MAT000042,Alessandro,Rizzo,alessandro.rizzo@bancatrinacria.it,+393296719022,9,Operatore,2024-02-05,,Attivo,2026-01-26 22:18:19.349551,2026-01-26 22:18:19.349553
43,MAT000043,Carmela,Ferrara,carmela.ferrara@bancatrinacria.it,+393496999386,24,Cassiere,2020-01-20,,Attivo,2026-01-26 22:18:19.350452,2026-01-26 22:18:19.350453
44,MAT000044,Martina,Nicolosi,martina.nicolosi@bancatrinacria.it,+393389909133,12,Operatore,2017-12-19,,Attivo,2026-01-26 22:18:19.351346,2026-01-26 22:18:19.351347
45,MAT000045,Teresa,Lombardo,teresa.lombardo@bancatrinacria.it,+393330679740,3,Gestore,2017-08-06,,Attivo,2026-01-26 22:18:19.352228,2026-01-26 22:18:19.352230
46,MAT000046,Laura,Lombardo,laura.lombardo@bancatrinacria.it,+393354936183,9,Operatore,2022-04-06,,Attivo,2026-01-26 22:18:19.353128,2026-01-26 22:18:19.353130
47,MAT000047,Giovanna,Lombardo,giovanna.lombardo@bancatrinacria.it,+393282499471,13,Direttore,2020-04-03,,Attivo,2026-01-26 22:18:19.353989,2026-01-26 22:18:19.353990
48,MAT000048,Caterina,Torrisi,caterina.torrisi@bancatrinacria.it,+393497719065,11,Cassiere,2021-10-08,,Attivo,2026-01-26 22:18:19.354850,2026-01-26 22:18:19.354851
49,MAT000049,Simone,Libasci,simone.libasci@bancatrinacria.it,+393369027874,15,Operatore,2017-01-13,,Attivo,2026-01-26 22:18:19.355697,2026-01-26 22:18:19.355698
50,MAT000050,Alessandra,Greco,alessandra.greco@bancatrinacria.it,+393475655125,19,Direttore,2019-08-14,,Attivo,2026-01-26 22:18:19.356550,2026-01-26 22:18:19.356551
51,MAT000051,Rosaria,Zinna,rosaria.zinna@bancatrinacria.it,+393461545168,30,Gestore,2024-04-01,,Attivo,2026-01-26 22:18:19.358402,2026-01-26 22:18:19.358406
52,MAT000052,Davide,Ragusa,davide.ragusa@bancatrinacria.it,+393450385977,26,Operatore,2023-07-10,,Attivo,2026-01-26 22:18:19.360531,2026-01-26 22:18:19.360534
53,MAT000053,Vincenzo,Trovato,vincenzo.trovato@bancatrinacria.it,+393467109324,26,Operatore,2021-03-06,2024-06-06,Attivo,2026-01-26 22:18:19.361986,2026-01-26 22:18:19.361988
54,MAT000054,Angela,Ragusa,angela.ragusa@bancatrinacria.it,+393302748467,23,Operatore,2020-04-18,,Attivo,2026-01-26 22:18:19.363031,2026-01-26 22:18:19.363032
55,MAT000055,Calogero,Leone,calogero.leone@bancatrinacria.it,+393482146584,15,Operatore,2024-03-14,2024-08-01,Attivo,2026-01-26 22:18:19.363943,2026-01-26 22:18:19.363944
56,MAT000056,Martina,Rossitto,martina.rossitto@bancatrinacria.it,+393317875588,22,Direttore,2019-03-26,,Attivo,2026-01-26 22:18:19.364841,2026-01-26 22:18:19.364842
57,MAT000057,Giovanni,Puglisi,giovanni.puglisi@bancatrinacria.it,+393423605766,13,Cassiere,2022-06-11,,Attivo,2026-01-26 22:18:19.365748,2026-01-26 22:18:19.365749
58,MAT000058,Giovanna,Sciacca,giovanna.sciacca@bancatrinacria.it,+393282895171,7,Operatore,2020-11-24,,Cessato,2026-01-26 22:18:19.366631,2026-01-26 22:18:19.366633
59,MAT000059,Giovanna,Marletta,giovanna.marletta@bancatrinacria.it,+393311745961,11,Gestore,2024-07-20,,Attivo,2026-01-26 22:18:19.367486,2026-01-26 22:18:19.367487
60,MAT000060,Davide,Fiore,davide.fiore@bancatrinacria.it,+393397809134,26,Gestore,2017-07-20,,Attivo,2026-01-26 22:18:19.368346,2026-01-26 22:18:19.368347
61,MAT000061,Salvatore,Bruno,salvatore.bruno@bancatrinacria.it,+393462400504,31,Direttore,2019-01-08,,Attivo,2026-01-26 22:18:19.369565,2026-01-26 22:18:19.369569
62,MAT000062,Chiara,Marletta,chiara.marletta@bancatrinacria.it,+393332219693,5,Operatore,2020-07-31,,Attivo,2026-01-26 22:18:19.371280,2026-01-26 22:18:19.371283
63,MAT000063,Laura,Rizza,laura.rizza@bancatrinacria.it,+393464074821,16,Gestore,2019-12-15,,Attivo,2026-01-26 22:18:19.373369,2026-01-26 22:18:19.373371
64,MAT000064,Francesca,Nicolosi,francesca.nicolosi@bancatrinacria.it,+393367436713,27,Cassiere,2019-04-12,,Attivo,2026-01-26 22:18:19.376250,2026-01-26 22:18:19.376254
65,MAT000065,Domenico,Libasci,domenico.libasci@bancatrinacria.it,+393424090974,20,Operatore,2023-09-13,,Attivo,2026-01-26 22:18:19.377495,2026-01-26 22:18:19.377497
66,MAT000066,Rosario,Palermo,rosario.palermo@bancatrinacria.it,+393349421047,6,Operatore,2015-05-17,,Attivo,2026-01-26 22:18:19.378490,2026-01-26 22:18:19.378491
67,MAT000067,Rosa,Valenti,rosa.valenti@bancatrinacria.it,+393396232858,16,Operatore,2020-08-17,,Attivo,2026-01-26 22:18:19.379387,2026-01-26 22:18:19.379389
68,MAT000068,Pietro,Riccobono,pietro.riccobono@bancatrinacria.it,+393385171236,16,Operatore,2024-06-26,,Attivo,2026-01-26 22:18:19.380307,2026-01-26 22:18:19.380309
69,MAT000069,Rosaria,Asaro,rosaria.asaro@bancatrinacria.it,+393368175496,30,Cassiere,2024-03-22,,Attivo,2026-01-26 22:18:19.381344,2026-01-26 22:18:19.381346
70,MAT000070,Michele,Rapisarda,michele.rapisarda@bancatrinacria.it,+393209859317,17,Operatore,2022-11-11,,Attivo,2026-01-26 22:18:19.382327,2026-01-26 22:18:19.382329
71,MAT000071,Vincenzo,Borsellino,vincenzo.borsellino@bancatrinacria.it,+393284711382,16,Operatore,2019-05-11,,Attivo,2026-01-26 22:18:19.383227,2026-01-26 22:18:19.383228
72,MAT000072,Davide,Mazza,davide.mazza@bancatrinacria.it,+393316179640,7,Gestore,2022-09-28,,Attivo,2026-01-26 22:18:19.384116,2026-01-26 22:18:19.384117
73,MAT000073,Carmela,Fazio,carmela.fazio@bancatrinacria.it,+393305850643,30,Cassiere,2016-05-15,,Attivo,2026-01-26 22:18:19.384984,2026-01-26 22:18:19.384985
74,MAT000074,Rosa,Martino,rosa.martino@bancatrinacria.it,+393200532931,32,Direttore,2024-04-21,,Attivo,2026-01-26 22:18:19.385824,2026-01-26 22:18:19.385825
75,MAT000075,Giuseppina,Parisi,giuseppina.parisi@bancatrinacria.it,+393392904228,21,Operatore,2017-10-23,,Attivo,2026-01-26 22:18:19.386693,2026-01-26 22:18:19.386694
76,MAT000076,Maria,Romano,maria.romano@bancatrinacria.it,+393205395024,23,Cassiere,2015-08-03,,Attivo,2026-01-26 22:18:19.387534,2026-01-26 22:18:19.387535
77,MAT000077,Angela,Caruso,angela.caruso@bancatrinacria.it,+393477589178,10,Operatore,2017-06-26,,Cessato,2026-01-26 22:18:19.388394,2026-01-26 22:18:19.388395
78,MAT000078,Chiara,Barbera,chiara.barbera@bancatrinacria.it,+393460076617,10,Operatore,2022-12-27,,Attivo,2026-01-26 22:18:19.389263,2026-01-26 22:18:19.389264
79,MAT000079,Rosa,Catalano,rosa.catalano@bancatrinacria.it,+393311249985,22,Operatore,2019-04-10,,Attivo,2026-01-26 22:18:19.390087,2026-01-26 22:18:19.390089
80,MAT000080,Laura,Torrisi,laura.torrisi@bancatrinacria.it,+393451183673,5,Gestore,2019-08-22,,Attivo,2026-01-26 22:18:19.391241,2026-01-26 22:18:19.391242
81,MAT000081,Marco,Bruno,marco.bruno@bancatrinacria.it,+393396545271,1,Gestore,2016-01-09,,Attivo,2026-01-26 22:18:19.392523,2026-01-26 22:18:19.392525
82,MAT000082,Salvatore,Fichera,salvatore.fichera@bancatrinacria.it,+393318098851,22,Operatore,2019-08-10,,Attivo,2026-01-26 22:18:19.393619,2026-01-26 22:18:19.393620
83,MAT000083,Daniela,SuteraRusso,daniela.suterarusso@bancatrinacria.it,+393389451983,28,Operatore,2016-09-25,,Attivo,2026-01-26 22:18:19.394552,2026-01-26 22:18:19.394553
84,MAT000084,Salvatore,Corsaro,salvatore.corsaro@bancatrinacria.it,+393495149368,15,Direttore,2023-08-10,,Attivo,2026-01-26 22:18:19.395447,2026-01-26 22:18:19.395448
85,MAT000085,Valentina,Giarraputo,valentina.giarraputo@bancatrinacria.it,+393360244550,4,Gestore,2017-01-13,,Attivo,2026-01-26 22:18:19.396318,2026-01-26 22:18:19.396320
86,MAT000086,Rosaria,Caruso,rosaria.caruso@bancatrinacria.it,+393310183667,25,Gestore,2018-10-28,,Attivo,2026-01-26 22:18:19.397239,2026-01-26 22:18:19.397240
87,MAT000087,Antonino,Marino,antonino.marino@bancatrinacria.it,+393282290147,16,Operatore,2022-06-04,,Attivo,2026-01-26 22:18:19.398092,2026-01-26 22:18:19.398093
88,MAT000088,Marco,Sardo,marco.sardo@bancatrinacria.it,+393348156149,10,Direttore,2020-06-16,,Attivo,2026-01-26 22:18:19.398998,2026-01-26 22:18:19.398999
89,MAT000089,Michele,Grasso,michele.grasso@bancatrinacria.it,+393280343244,22,Gestore,2018-09-05,,Attivo,2026-01-26 22:18:19.399820,2026-01-26 22:18:19.399821
90,MAT000090,Daniela,Ferrera,daniela.ferrera@bancatrinacria.it,+393316838851,8,Cassiere,2019-06-15,,Cessato,2026-01-26 22:18:19.400647,2026-01-26 22:18:19.400648
91,MAT000091,Maria,Platania,maria.platania@bancatrinacria.it,+393295969664,13,Gestore,2016-04-16,,Attivo,2026-01-26 22:18:19.401467,2026-01-26 22:18:19.401468
92,MAT000092,Luigi,Platania,luigi.platania@bancatrinacria.it,+393401613696,9,Cassiere,2020-11-16,,Attivo,2026-01-26 22:18:19.402356,2026-01-26 22:18:19.402358
93,MAT000093,Lucia,Palermo,lucia.palermo@bancatrinacria.it,+393392181883,12,Gestore,2023-09-15,,Attivo,2026-01-26 22:18:19.403188,2026-01-26 22:18:19.403189
94,MAT000094,Giovanna,Puglisi,giovanna.puglisi@bancatrinacria.it,+393302432921,27,Gestore,2016-12-26,,Attivo,2026-01-26 22:18:19.404062,2026-01-26 22:18:19.404063
95,MAT000095,Laura,Piana,laura.piana@bancatrinacria.it,+393395271774,5,Operatore,2023-12-06,,Attivo,2026-01-26 22:18:19.404913,2026-01-26 22:18:19.404914
96,MAT000096,Matteo,Lombardo,matteo.lombardo@bancatrinacria.it,+393387700541,9,Cassiere,2022-03-25,,Attivo,2026-01-26 22:18:19.405757,2026-01-26 22:18:19.405758
97,MAT000097,Matteo,Gagliano,matteo.gagliano@bancatrinacria.it,+393469807935,3,Direttore,2021-10-14,,Attivo,2026-01-26 22:18:19.406620,2026-01-26 22:18:19.406621
98,MAT000098,Anna,Piana,anna.piana@bancatrinacria.it,+393305182037,20,Cassiere,2019-12-05,,Attivo,2026-01-26 22:18:19.407896,2026-01-26 22:18:19.407898
99,MAT000099,Stefania,Fichera,stefania.fichera@bancatrinacria.it,+393386659051,15,Gestore,2018-09-12,,Attivo,2026-01-26 22:18:19.408921,2026-01-26 22:18:19.408922
100,MAT000100,Domenico,Rizza,domenico.rizza@bancatrinacria.it,+393315192546,22,Operatore,2016-06-12,,Attivo,2026-01-26 22:18:19.409787,2026-01-26 22:18:19.409788
101,MAT000101,Francesca,Fiore,francesca.fiore@bancatrinacria.it,+393392816850,17,Operatore,2019-01-25,,Attivo,2026-01-26 22:18:19.410657,2026-01-26 22:18:19.410658
102,MAT000102,Lucia,Rossitto,lucia.rossitto@bancatrinacria.it,+393343221418,14,Cassiere,2023-08-24,,Attivo,2026-01-26 22:18:19.411529,2026-01-26 22:18:19.411530
103,MAT000103,Chiara,Zinna,chiara.zinna@bancatrinacria.it,+393399296222,32,Direttore,2024-04-28,,Attivo,2026-01-26 22:18:19.412431,2026-01-26 22:18:19.412432
104,MAT000104,Luigi,Pappalardo,luigi.pappalardo@bancatrinacria.it,+393286537947,19,Operatore,2017-08-16,,Attivo,2026-01-26 22:18:19.413239,2026-01-26 22:18:19.413240
105,MAT000105,Alessandro,Leone,alessandro.leone@bancatrinacria.it,+393409774688,30,Operatore,2019-09-11,,Attivo,2026-01-26 22:18:19.414070,2026-01-26 22:18:19.414071
106,MAT000106,Vincenzo,Rizza,vincenzo.rizza@bancatrinacria.it,+393287581814,10,Operatore,2015-12-10,,Attivo,2026-01-26 22:18:19.414884,2026-01-26 22:18:19.414886
107,MAT000107,Matteo,Giordano,matteo.giordano@bancatrinacria.it,+393451375060,24,Operatore,2019-06-12,,Attivo,2026-01-26 22:18:19.415689,2026-01-26 22:18:19.415690
108,MAT000108,Rosa,Fichera,rosa.fichera@bancatrinacria.it,+393350515220,24,Cassiere,2018-03-21,,Attivo,2026-01-26 22:18:19.416529,2026-01-26 22:18:19.416530
109,MAT000109,Vincenzo,Rapisarda,vincenzo.rapisarda@bancatrinacria.it,+393469010432,32,Gestore,2021-02-25,,Attivo,2026-01-26 22:18:19.417333,2026-01-26 22:18:19.417334
110,MAT000110,Daniela,Rizzo,daniela.rizzo@bancatrinacria.it,+393383410369,10,Gestore,2020-02-16,,Attivo,2026-01-26 22:18:19.418259,2026-01-26 22:18:19.418260
111,MAT000111,Alessandra,Libasci,alessandra.libasci@bancatrinacria.it,+393489324609,11,Operatore,2018-12-16,,Attivo,2026-01-26 22:18:19.419257,2026-01-26 22:18:19.419259
112,MAT000112,Rosa,Fazio,rosa.fazio@bancatrinacria.it,+393298888806,20,Direttore,2024-10-17,,Attivo,2026-01-26 22:18:19.420216,2026-01-26 22:18:19.420217
113,MAT000113,Stefania,Rizza,stefania.rizza@bancatrinacria.it,+393205153195,14,Operatore,2016-06-30,2024-03-27,Attivo,2026-01-26 22:18:19.421054,2026-01-26 22:18:19.421055
114,MAT000114,Teresa,Ragusa,teresa.ragusa@bancatrinacria.it,+393472217043,9,Operatore,2015-06-29,,Attivo,2026-01-26 22:18:19.421865,2026-01-26 22:18:19.421866
115,MAT000115,Antonino,Bella,antonino.bella@bancatrinacria.it,+393486874034,9,Direttore,2019-01-02,,Cessato,2026-01-26 22:18:19.422761,2026-01-26 22:18:19.422762
116,MAT000116,Lucia,Sardo,lucia.sardo@bancatrinacria.it,+393305667652,26,Operatore,2020-07-25,,Attivo,2026-01-26 22:18:19.424001,2026-01-26 22:18:19.424003
117,MAT000117,Chiara,Sardo,chiara.sardo@bancatrinacria.it,+393296169284,22,Operatore,2018-08-08,,Attivo,2026-01-26 22:18:19.425164,2026-01-26 22:18:19.425165
118,MAT000118,Domenico,Bella,domenico.bella@bancatrinacria.it,+393469627570,16,Gestore,2023-02-25,,Attivo,2026-01-26 22:18:19.426060,2026-01-26 22:18:19.426061
119,MAT000119,Daniela,Scuderi,daniela.scuderi@bancatrinacria.it,+393281658202,10,Operatore,2024-07-08,,Attivo,2026-01-26 22:18:19.427187,2026-01-26 22:18:19.427190
120,MAT000120,Antonio,Romano,antonio.romano@bancatrinacria.it,+393293556909,7,Operatore,2016-09-20,,Attivo,2026-01-26 22:18:19.428756,2026-01-26 22:18:19.428758
121,MAT000121,Stefania,Pappalardo,stefania.pappalardo@bancatrinacria.it,+393299285654,26,Gestore,2017-10-19,,Cessato,2026-01-26 22:18:19.429940,2026-01-26 22:18:19.429942
122,MAT000122,Teresa,Sciacca,teresa.sciacca@bancatrinacria.it,+393486814473,4,Operatore,2021-11-11,,Attivo,2026-01-26 22:18:19.431116,2026-01-26 22:18:19.431117
123,MAT000123,Alessandra,Longo,alessandra.longo@bancatrinacria.it,+393302172715,16,Gestore,2022-06-28,,Attivo,2026-01-26 22:18:19.432099,2026-01-26 22:18:19.432100
124,MAT000124,Davide,Valenti,davide.valenti@bancatrinacria.it,+393382258313,27,Operatore,2023-11-19,,Attivo,2026-01-26 22:18:19.433102,2026-01-26 22:18:19.433103
125,MAT000125,Maria,Fazio,maria.fazio@bancatrinacria.it,+393499578291,6,Operatore,2015-09-27,,Attivo,2026-01-26 22:18:19.434031,2026-01-26 22:18:19.434033
126,MAT000126,Alessandro,Marletta,alessandro.marletta@bancatrinacria.it,+393459125177,24,Gestore,2022-08-17,,Attivo,2026-01-26 22:18:19.434906,2026-01-26 22:18:19.434907
127,MAT000127,Valentina,Fontana,valentina.fontana@bancatrinacria.it,+393316801824,16,Direttore,2016-11-05,,Attivo,2026-01-26 22:18:19.435749,2026-01-26 22:18:19.435750
128,MAT000128,Michele,Corsaro,michele.corsaro@bancatrinacria.it,+393484143842,19,Operatore,2022-01-04,,Attivo,2026-01-26 22:18:19.436611,2026-01-26 22:18:19.436612
129,MAT000129,Matteo,De Luca,matteo.de luca@bancatrinacria.it,+393312995900,23,Operatore,2015-11-29,2024-02-07,Attivo,2026-01-26 22:18:19.437431,2026-01-26 22:18:19.437432
130,MAT000130,Pietro,Marchese,pietro.marchese@bancatrinacria.it,+393459078447,25,Operatore,2017-09-30,,Attivo,2026-01-26 22:18:19.438258,2026-01-26 22:18:19.438259
131,MAT000131,Francesca,Platania,francesca.platania@bancatrinacria.it,+393290276773,10,Operatore,2018-10-25,,Attivo,2026-01-26 22:18:19.439151,2026-01-26 22:18:19.439152
132,MAT000132,Antonino,Corsaro,antonino.corsaro@bancatrinacria.it,+393422588153,17,Operatore,2020-03-25,,Attivo,2026-01-26 22:18:19.441031,2026-01-26 22:18:19.441034
133,MAT000133,Giovanna,Bruno,giovanna.bruno@bancatrinacria.it,+393284696325,27,Gestore,2021-06-24,,Attivo,2026-01-26 22:18:19.442455,2026-01-26 22:18:19.442457
134,MAT000134,Luigi,Sciacca,luigi.sciacca@bancatrinacria.it,+393487747016,19,Operatore,2020-09-01,,Attivo,2026-01-26 22:18:19.443516,2026-01-26 22:18:19.443517
135,MAT000135,Martina,D'Angelo,martina.d'angelo@bancatrinacria.it,+393280479748,23,Gestore,2015-02-03,,Attivo,2026-01-26 22:18:19.444451,2026-01-26 22:18:19.444452
136,MAT000136,Pietro,Fazio,pietro.fazio@bancatrinacria.it,+393425060983,7,Cassiere,2019-01-24,,Attivo,2026-01-26 22:18:19.445346,2026-01-26 22:18:19.445347
137,MAT000137,Matteo,Piana,matteo.piana@bancatrinacria.it,+393494991216,6,Operatore,2019-03-09,,Attivo,2026-01-26 22:18:19.446220,2026-01-26 22:18:19.446221
138,MAT000138,Stefania,Giordano,stefania.giordano@bancatrinacria.it,+393349868000,2,Operatore,2016-07-15,,Attivo,2026-01-26 22:18:19.447177,2026-01-26 22:18:19.447178
139,MAT000139,Chiara,Platania,chiara.platania@bancatrinacria.it,+393319825952,6,Gestore,2019-05-29,,Attivo,2026-01-26 22:18:19.448019,2026-01-26 22:18:19.448020
140,MAT000140,Francesca,Coco,francesca.coco@bancatrinacria.it,+393488879470,28,Gestore,2019-02-17,,Attivo,2026-01-26 22:18:19.448914,2026-01-26 22:18:19.448915
141,MAT000141,Marco,Bella,marco.bella@bancatrinacria.it,+393209749930,6,Direttore,2021-07-18,,Attivo,2026-01-26 22:18:19.449734,2026-01-26 22:18:19.449735
142,MAT000142,Calogero,Giordano,calogero.giordano@bancatrinacria.it,+393350913075,23,Operatore,2019-09-12,,Attivo,2026-01-26 22:18:19.450548,2026-01-26 22:18:19.450549
143,MAT000143,Marco,Torrisi,marco.torrisi@bancatrinacria.it,+393470283857,4,Cassiere,2020-11-22,,Attivo,2026-01-26 22:18:19.451374,2026-01-26 22:18:19.451375
144,MAT000144,Laura,Coco,laura.coco@bancatrinacria.it,+393495497334,29,Direttore,2021-04-04,,Attivo,2026-01-26 22:18:19.452232,2026-01-26 22:18:19.452233
145,MAT000145,Francesca,Trovato,francesca.trovato@bancatrinacria.it,+393347575844,14,Operatore,2016-05-14,,Attivo,2026-01-26 22:18:19.453072,2026-01-26 22:18:19.453073
